Dates,Prices
1-01-97,3.45
1-02-97,2.15
1-03-97,1.89
1-04-97,2.03
1-05-97,2.25
1-06-97,2.20
1-07-97,2.19
1-08-97,2.49
1-09-97,2.88
1-10-97,3.07
1-11-97,3.01
1-12-97,2.35
1-01-98,2.09
1-02-98,2.23
1-03-98,2.24
1-04-98,2.43
1-05-98,2.14
1-06-98,2.17
1-07-98,2.17
1-08-98,1.85
1-09-98,2.02
1-10-98,1.91
1-11-98,2.12
1-12-98,1.72
1-01-99,1.85
1-02-99,1.77
1-03-99,1.79
1-04-99,2.15
1-05-99,2.26
1-06-99,2.30
1-07-99,2.31
1-08-99,2.80
1-09-99,2.55
1-10-99,2.73
1-11-99,2.37
1-12-99,2.36
1-01-00,2.42
1-02-00,2.66
1-03-00,2.79
1-04-00,3.04
1-05-00,3.59
1-06-00,4.29
1-07-00,3.99
1-08-00,4.43
1-09-00,5.06
1-10-00,5.02
1-11-00,5.52
1-12-00,8.90
1-01-01,8.17
1-02-01,5.61
1-03-01,5.23
1-04-01,5.19
1-05-01,4.19
1-06-01,3.72
1-07-01,3.11
1-08-01,2.97
1-09-01,2.19
1-10-01,2.46
1-11-01,2.34
1-12-01,2.30
1-01-02,2.32
1-02-02,2.32
1-03-02,3.03
1-04-02,3.43
1-05-02,3.50
1-06-02,3.26
1-07-02,2.99
1-08-02,3.09
1-09-02,3.55
1-10-02,4.13
1-11-02,4.04
1-12-02,4.74
1-01-03,5.43
1-02-03,7.71
1-03-03,5.93
1-04-03,5.26
1-05-03,5.81
1-06-03,5.82
1-07-03,5.03
1-08-03,4.99
1-09-03,4.62
1-10-03,4.63
1-11-03,4.47
1-12-03,6.13
1-01-04,6.14
1-02-04,5.37
1-03-04,5.39
1-04-04,5.71
1-05-04,6.33
1-06-04,6.27
1-07-04,5.93
1-08-04,5.41
1-09-04,5.15
1-10-04,6.35
1-11-04,6.17
1-12-04,6.58
1-01-05,6.15
1-02-05,6.14
1-03-05,6.96
1-04-05,7.16
1-05-05,6.47
1-06-05,7.18
1-07-05,7.63
1-08-05,9.53
1-09-05,11.75
1-10-05,13.42
1-11-05,10.30
1-12-05,13.05
1-01-06,8.69
1-02-06,7.54
1-03-06,6.89
1-04-06,7.16
1-05-06,6.25
1-06-06,6.21
1-07-06,6.17
1-08-06,7.14
1-09-06,4.90
1-10-06,5.85
1-11-06,7.41
1-12-06,6.73
1-01-07,6.55
1-02-07,8.00
1-03-07,7.11
1-04-07,7.60
1-05-07,7.64
1-06-07,7.35
1-07-07,6.22
1-08-07,6.22
1-09-07,6.08
1-10-07,6.74
1-11-07,7.10
1-12-07,7.11
1-01-08,7.99
1-02-08,8.54
1-03-08,9.41
1-04-08,10.18
1-05-08,11.27
1-06-08,12.69
1-07-08,11.09
1-08-08,8.26
1-09-08,7.67
1-10-08,6.74
1-11-08,6.68
1-12-08,5.82
1-01-09,5.24
1-02-09,4.52
1-03-09,3.96
1-04-09,3.50
1-05-09,3.83
1-06-09,3.80
1-07-09,3.38
1-08-09,3.14
1-09-09,2.99
1-10-09,4.01
1-11-09,3.66
1-12-09,5.35
1-01-10,5.83
1-02-10,5.32
1-03-10,4.29
1-04-10,4.03
1-05-10,4.14
1-06-10,4.80
1-07-10,4.63
1-08-10,4.32
1-09-10,3.89
1-10-10,3.43
1-11-10,3.71
1-12-10,4.25
1-01-11,4.49
1-02-11,4.09
1-03-11,3.97
1-04-11,4.24
1-05-11,4.31
1-06-11,4.54
1-07-11,4.42
1-08-11,4.06
1-09-11,3.90
1-10-11,3.57
1-11-11,3.24
1-12-11,3.17
1-01-12,2.67
